Unnamed: 0,o__Actinomycetales,o__Bacillales,o__Bacteroidales,o__Bifidobacteriales,o__Burkholderiales,o__Campylobacterales,o__Cardiobacteriales,o__Clostridiales,o__Coriobacteriales,o__Deferribacterales,o__Desulfovibrionales,o__Enterobacteriales,o__Erysipelotrichales,o__Flavobacteriales,o__Fusobacteriales,o__Gemellales,o__Lactobacillales,o__Methanobacteriales,o__Neisseriales,o__Pasteurellales,o__Pseudomonadales,o__RF32,o__RF39,o__Rhizobiales,o__Rhodospirillales,o__Spirochaetales,o__Streptophyta,o__Turicibacterales,o__Verrucomicrobiales,o__Victivallales,o__Xanthomonadales,o__YS2
MSM5LLHI,0.0,0.0,1773.0,0.0,264.0,0.0,0.0,2148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,13.0,0.0,0.0
MSM5FZ9V,0.0,0.0,181.0,13.0,0.0,88.0,0.0,13547.0,0.0,0.0,0.0,328.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12.0,2360.0,0.0,0.0,0.0
MSM5ZOJY,0.0,0.0,678.0,0.0,0.0,0.0,0.0,24384.0,0.0,0.0,0.0,3494.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,0.0,0.0,0.0
CSM5MCV5,0.0,0.0,22.0,0.0,7147.0,0.0,0.0,2008.0,0.0,0.0,19.0,9450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
HSM5FZBU,0.0,0.0,120.0,43.0,2220.0,0.0,0.0,10331.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEBA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLEX,1.0,1.0,26.0,16.0,14.0,0.0,0.0,913.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,2.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
HSM5FZBR,0.0,0.0,825.0,0.0,89.0,0.0,0.0,46.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEBQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEEA,0.0,0.0,304.0,0.0,689.0,0.0,0.0,14031.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
MSM5FZ9S,0.0,0.0,0.0,0.0,18584.0,0.0,0.0,14868.0,0.0,0.0,0.0,29995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD7W,0.0,0.0,609.0,0.0,71.0,0.0,0.0,878.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD4C,0.0,3.0,69.0,10.0,51.0,0.0,0.0,561.0,60.0,0.0,15.0,248.0,42.0,0.0,0.0,0.0,76.0,0.0,29.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0
MSM5LLFK,0.0,0.0,361.0,0.0,21.0,0.0,0.0,9218.0,0.0,0.0,0.0,1184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
MSM5LLIC,0.0,0.0,279.0,122.0,2722.0,0.0,0.0,6835.0,0.0,0.0,10.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,16.0,0.0,21.0
MSM5LLGJ,0.0,0.0,21.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLIK,0.0,0.0,168.0,4.0,0.0,0.0,0.0,4234.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD3W,0.0,0.0,38.0,0.0,1.0,0.0,0.0,141.0,1.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,170.0,0.0,0.0,0.0
MSM5LLGV,0.0,0.0,277.0,0.0,302.0,0.0,0.0,12520.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLFU,0.0,0.0,408.0,0.0,0.0,0.0,0.0,2851.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLEN,0.0,0.0,83.0,10.0,36.0,18.0,0.0,17860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5FZBP,0.0,0.0,312.0,0.0,24.0,0.0,0.0,138.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLD8,0.0,0.0,256.0,11.0,161.0,0.0,0.0,1902.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
MSM5LLIM,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM633FF,5.0,0.0,2736.0,8.0,841.0,2.0,0.0,1427.0,23.0,2.0,17.0,16.0,120.0,0.0,0.0,0.0,49.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,112.0,0.0,1.0,0.0
CSM5FZ4O,0.0,0.0,637.0,0.0,65.0,0.0,0.0,489.0,0.0,0.0,0.0,304.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD7Z,0.0,0.0,163.0,3.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCVB,0.0,0.0,588.0,4.0,1271.0,0.0,0.0,333.0,0.0,0.0,0.0,12571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5FZ46,0.0,0.0,526.0,0.0,7309.0,0.0,0.0,676.0,0.0,0.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLIQ,0.0,5.0,325.0,5.0,1349.0,0.0,0.0,13020.0,0.0,0.0,6.0,1538.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,0.0,0.0,0.0,0.0
MSM5FZ8Y,0.0,11.0,283.0,0.0,0.0,30.0,0.0,16518.0,0.0,0.0,0.0,4325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3967.0,0.0,0.0,0.0
ESM5MEDZ,0.0,0.0,254.0,0.0,326.0,0.0,0.0,11192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLIE,0.0,0.0,594.0,0.0,1804.0,0.0,0.0,6267.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCVD,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CSM5FZ4G,0.0,0.0,98.0,0.0,0.0,0.0,0.0,8413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLHZ,0.0,0.0,4327.0,17.0,314.0,0.0,0.0,2125.0,3.0,0.0,4.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
HSM5MD47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCUI,0.0,0.0,2385.0,18.0,571.0,0.0,0.0,15180.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
CSM5FZ44,0.0,0.0,97.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLIO,0.0,0.0,155.0,19.0,0.0,0.0,0.0,15934.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEBL,0.0,0.0,392.0,0.0,30.0,0.0,0.0,10546.0,0.0,0.0,0.0,4196.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
MSM5LLHK,0.0,0.0,194.0,2.0,3735.0,0.0,0.0,18544.0,9.0,0.0,602.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.0,80.0,0.0,102.0
CSM5MCU4,0.0,0.0,257.0,0.0,755.0,0.0,0.0,1592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCVV,0.0,0.0,667.0,0.0,120.0,0.0,0.0,3466.0,0.0,0.0,0.0,8542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,288.0,0.0,0.0,3.0
MSM5LLH6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLGD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5FZA2,0.0,0.0,3266.0,0.0,0.0,28.0,0.0,24438.0,0.0,0.0,0.0,3831.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,369.0,0.0,0.0,0.0
MSM5LLE9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEEC,0.0,0.0,236.0,0.0,1.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD4B,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCV3,0.0,0.0,464.0,0.0,1883.0,0.0,0.0,630.0,0.0,0.0,2.0,3460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEA7,68.0,22.0,293155.0,334.0,28.0,596.0,3.0,399710.0,237.0,0.0,204.0,147202.0,11749.0,1.0,128645.0,10.0,3775.0,0.0,352.0,39890.0,6.0,0.0,9.0,1.0,1.0,0.0,0.0,2107.0,0.0,0.0,5.0,0.0
MSM5LLGX,0.0,0.0,438.0,0.0,169.0,0.0,0.0,8892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD5H,0.0,0.0,239.0,45.0,2442.0,0.0,0.0,5388.0,0.0,0.0,3.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCW8,0.0,0.0,0.0,36.0,0.0,0.0,0.0,4049.0,0.0,0.0,0.0,9058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD86,0.0,0.0,2.0,0.0,80.0,34.0,0.0,752.0,0.0,0.0,0.0,69346.0,0.0,0.0,0.0,0.0,1561.0,0.0,0.0,7678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD4R,0.0,0.0,913.0,0.0,162.0,0.0,0.0,4425.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5FZ48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEET,0.0,41.0,73.0,412.0,366.0,0.0,0.0,7665.0,0.0,0.0,0.0,3268.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,4458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,332.0,0.0,0.0,0.0
ESM5MEEG,0.0,0.0,386.0,70.0,3574.0,0.0,0.0,1289.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLGH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5FZ9Z,0.0,0.0,279.0,0.0,11.0,35.0,0.0,8305.0,0.0,0.0,0.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.0,0.0,0.0,0.0
CSM5MCVH,0.0,0.0,6.0,18.0,0.0,0.0,0.0,7537.0,0.0,0.0,0.0,14962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLHM,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCV1,0.0,0.0,656.0,0.0,26.0,0.0,0.0,30.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5YRY7,0.0,0.0,223.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
ESM5MEE6,0.0,0.0,26.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5FZ3Z,0.0,0.0,543.0,0.0,4035.0,0.0,0.0,1069.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5FZ9N,0.0,0.0,0.0,0.0,19036.0,0.0,0.0,21509.0,0.0,0.0,0.0,15728.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5GEZA,0.0,0.0,368.0,7.0,11.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5FZBQ,0.0,0.0,1137.0,1.0,20.0,1.0,0.0,112.0,0.0,0.0,4.0,29.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5MD3L,1.0,0.0,501.0,58.0,395.0,0.0,0.0,1087.0,1.0,0.0,71.0,13.0,8.0,0.0,0.0,0.0,20.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEE2,0.0,0.0,445.0,0.0,81.0,0.0,0.0,4040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLGT,0.0,0.0,256.0,0.0,1936.0,0.0,0.0,9212.0,0.0,0.0,58.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5LLFS,0.0,0.0,291.0,0.0,9.0,0.0,0.0,18428.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSM5FZ9Q,0.0,0.0,7.0,0.0,36942.0,0.0,0.0,16247.0,0.0,0.0,0.0,31366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSM5FZBT,0.0,0.0,193.0,0.0,3660.0,0.0,0.0,4603.0,0.0,0.0,0.0,3771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCVZ,0.0,0.0,165.0,0.0,294.0,0.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5FZ4I,13.0,0.0,143.0,41.0,927.0,3.0,0.0,483.0,16.0,0.0,3.0,12.0,105.0,0.0,14.0,17.0,105.0,24.0,7.0,13.0,5.0,0.0,0.0,4.0,0.0,7.0,4.0,9.0,60.0,0.0,0.0,0.0
MSM5LLE5,0.0,0.0,2.0,0.0,37446.0,0.0,0.0,7162.0,0.0,0.0,0.0,163.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
CSM5FZ3X,0.0,0.0,293.0,0.0,18949.0,0.0,0.0,1806.0,0.0,0.0,0.0,8701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5FZ3N,0.0,0.0,160.0,0.0,0.0,0.0,0.0,3941.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5GEZ8,0.0,0.0,411.0,95.0,4643.0,0.0,0.0,5755.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESM5MEEB,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
